faoID,simpleName,primary,faoName,faoGroupID,faoGroupName,canonicalName,definition
1349,hypercalcaemics (consumption),FALSE,Hypercalcaemics (Consumption),21,pesticides,NA,No definition available.
1350,narcotics (consumption),FALSE,Narcotics (Consumption),21,pesticides,NA,No definition available.
1351,disinfectants (consumption),FALSE,Disinfectants (Consumption),21,pesticides,NA,No definition available.
1352,fungicides seed treatments total (consumption),FALSE,"Fungicides seed treatments, total (Consumption)",21,fertilizers,NA,No definition available.
1353,insecticides seed treatments total (consumption),FALSE,"Insecticides seed treatments, total (Consumption)",21,fertilizers,NA,No definition available.
1355,other pesticides nes (consumption),FALSE,Other pesticides nes (Consumption),21,pesticides,NA,No definition available.
1357,pesticides (trade),FALSE,Pesticides (Trade),21,pesticides,NA,"Value of trade covering insecticides, fungicides, herbicides, disinfectants and others, as described by the Harmonised Coding System (HS) code 3808. Data refer to the value of the trade expressed in 1000 USD"
1360,nitrogenous fertilizers,FALSE,Nitrogenous fertilizers,22,fertilizers,NA,No definition available.
1375,phosphate fertilizers,FALSE,Phosphate fertilizers,22,fertilizers,NA,No definition available.
1386,potash fertilizers,FALSE,Potash fertilizers,22,fertilizers,NA,No definition available.
1397,fertilizers manufactured nes,FALSE,"Fertilizers Manufactured, nes",22,fertilizers,NA,Mineral or chemical fertilizers not elsewhere specified.
1398,natural sodium nitrate,FALSE,Natural Sodium Nitrate,22,fertilizers,NA,Chemically obtained product containing sodium nitrate as its essential ingredient. The minimum content of nutrients is 15% N (Nitrogen expressed as nitric nitrogen).
1399,natural phosphates,FALSE,Natural Phosphates,22,fertilizers,NA,"Products obtained by grinding soft mineral phosphates and containing tricalcium phosphate and calcium carbonate as essential ingredients. The minimum content of nutrients is 25% P2O5(Phosphorus expressed as P2O5 soluble in mineral acids, at least 55% of the declared content of P2O5 being soluble in 2% formic acid)."
1400,natural potassic salts,FALSE,Natural Potassic Salts,22,fertilizers,NA,"Products obtained from crude potassium salts. The minimum content of nutrients is 10% K2O (Potassium expressed as water-soluble K2O) and 5% MgO (Magnesium in the form of water soluble salts, expressed as magnesium oxide)."
1401,fertilizers organic,FALSE,"Fertilizers, Organic",22,fertilizers,NA,"Animal or vegetable fertilizers, whether or not mixed together or chemically treated; fertilizers produced by the mixing or chemical treatment of animal or vegetable products."
1416,insecticides (trade),FALSE,Insecticides (Trade),21,pesticides,NA,Value of trade covering insecticides as described by the Harmonised Coding System (HS) code 3808.10 Data refer to the value of the trade expressed in 1000 USD
1417,fungicides (trade),FALSE,Fungicides (Trade),21,pesticides,NA,Value of trade covering fungicides as described by the Harmonised Coding System (HS) code 3808.20 Data refer to the value of the trade expressed in 1000 USD
1418,herbicides (trade),FALSE,Herbicides (Trade),21,pesticides,NA,Value of trade covering herbicides as described by the Harmonised Coding System (HS) code 3808.30. Data refer to the value of the trade expressed in 1000 USD
1419,disinfectantsetc (trade),FALSE,"Disinfectants,etc (Trade)",21,pesticides,NA,"Value of trade covering disinfectants and others, as described by the Harmonised Coding System (HS) codes 3808.40,90. Data refer to the value of the trade expressed in 1000 USD"
1422,mercury compounds etc. excl. amalgams spartana (trade),FALSE,Mercury compounds etc. excl. amalgams spartana (Trade),21,pesticides,NA,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2852. Data refer to quantity of the trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1423,ethylene dichloride (trade),FALSE,Ethylene dichloride (Trade),21,pesticides,NA,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2903.15. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1424,ethylene dibromide (12-dibromoethane) (trade),FALSE,"Ethylene dibromide (1,2-dibromoethane) (Trade)",21,pesticides,NA,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2903.31. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1425,hch (mixed isomers) / lindane (trade),FALSE,HCH (mixed isomers) / Lindane (Trade),21,pesticides,NA,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2903.51. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1426,aldrin chlordane heptachlor (trade),FALSE,"Aldrin, Chlordane, Heptachlor (Trade)",21,pesticides,NA,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2903.52. Data refer to the quantity of trade expressed in kilogram of net weight and value of trade expressed in 1000 USD
1427,ddt hexachlorobenzene (trade),FALSE,"DDT, Hexachlorobenzene (Trade)",21,pesticides,NA,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2903.62. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1428,pentachlorophenol (trade),FALSE,Pentachlorophenol (Trade),21,pesticides,NA,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2908.11. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1429,salts of pentachlorophenol (excl 280811),FALSE,Salts of Pentachlorophenol (excl 280811),21,pesticides,NA,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2908.19. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1430,dinoseb and dinoseb salts (trade),FALSE,Dinoseb and dinoseb salts (Trade),21,pesticides,NA,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2908.91. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1431,dnoc and its salts (excl. 290811-290891) (trade),FALSE,DNOC and its salts (excl. 290811-290891) (Trade),21,pesticides,NA,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2908.99. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1432,oxirane (ethylene oxide) (trade),FALSE,Oxirane (ethylene oxide) (Trade),21,pesticides,NA,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2910.10. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1433,dieldrin (trade),FALSE,Dieldrin (Trade),21,pesticides,NA,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2910.40. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1434,dinoseb acetate (trade),FALSE,Dinoseb acetate (Trade),21,pesticides,NA,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2915.36. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1435,binapacryl (trade),FALSE,Binapacryl (Trade),21,pesticides,NA,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2916.36. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1436,chlorobenzilate (trade),FALSE,Chlorobenzilate (Trade),21,pesticides,NA,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2918.18. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1437,245-t and its salts and esters (trade),FALSE,"2,4,5-T and its salts and esters (Trade)",21,pesticides,NA,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2918.91. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1438,parathion & parathion-methyl (trade),FALSE,Parathion & parathion-methyl (Trade),21,pesticides,NA,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2920.11. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1439,fluoroacetamide monocrotophos & phosphamidon (trade),FALSE,"Fluoroacetamide, monocrotophos & phosphamidon (Trade)",21,pesticides,NA,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2924.12. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1440,chlordimeform (trade),FALSE,Chlordimeform (Trade),21,pesticides,NA,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2925.21. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1441,captafol & methamidophos (trade),FALSE,Captafol & methamidophos (Trade),21,pesticides,NA,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2930.50. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1442,hazardous pesticides (trade),FALSE,Hazardous pesticides (Trade),21,pesticides,NA,"Value of trade covering goods as described by Harmonised Coding System (HS) code 3808.50 Subheading 3808.50 covers only goods of heading 38.08, containing one or more of the following substances: aldrin (ISO); binapacryl (ISO); camphechlor (ISO) (toxaphene); captafol (ISO); chlordane (ISO); chlordimeform (ISO); chlorobenzilate (ISO); DDT (ISO) (clofenotane (INN), 1,1,1-trichloro-2,2-bis(p-chlorophenyl)ethane); dieldrin (ISO, INN); dinoseb (ISO), its salts or its esters; ethylene dibromide (ISO) (1,2-dibromoethane); ethylene dichloride (ISO) (1,2-dichloroethane); fluoroacetamide (ISO); heptachlor (ISO); hexachlorobenzene (ISO); 1,2,3,4,5,6-hexachlorocyclohexane (HCH (ISO)), including lindane (ISO, INN); mercury compounds; methamidophos (ISO); monocrotophos (ISO); oxirane (ethylene oxide); parathion (ISO); parathion-methyl (ISO) (methyl-parathion); pentachlorophenol (ISO); phosphamidon (ISO); 2,4,5-T (ISO) (2,4,5-trichlorophenoxyacetic acid), its salts or its esters. Data refer to the value of the trade expressed in 1000 USD"
1443,insecticides (excl. haz. pest.) (trade),FALSE,Insecticides (excl. Haz. pest.) (Trade),21,pesticides,NA,Value of trade covering insecticides as described by the Harmonised Coding System (HS) code 3808.91 Data refer to the value of the trade expressed in 1000 USD
1444,fungicides (excl. haz. pest.) (trade),FALSE,Fungicides (excl. Haz. pest.) (Trade),21,pesticides,NA,Value of trade covering fungicides as described by the Harmonised Coding System (HS) code 3808.92 Data refer to the value of the trade expressed in 1000 USD
1445,herbicides (excl. haz. pest.) (trade),FALSE,Herbicides (excl. Haz. pest.) (Trade),21,pesticides,NA,Value of trade covering herbicides as described by the Harmonised Coding System (HS) code 3808.93. Data refer to the value of the trade expressed in 1000 USD
1446,disinfectants etc (excl. haz. pest.) (trade),FALSE,"Disinfectants, etc (excl. Haz. pest.) (Trade)",21,pesticides,NA,"Value of trade covering disinfectants and others, as described by the Harmonised Coding System (HS) codes 3808.94,99. Data refer to the value of the trade expressed in 1000 USD"
2455001,ploughs,FALSE,Ploughs,23,machinery,NA,Ploughs are implements designed to lift and turn soil. Data are expressed in numbers in use in the agricultural sector.
2455002,seeders,FALSE,Seeders,23,machinery,NA,Seeders are implements for sowing seeds or grain evenly in well-spaced rows at specific depths. Data are expressed in numbers in use in the agricultural sector.
2455003,manure spreaders and fert. distributors,FALSE,Manure spreaders and Fert. distributors,23,machinery,NA,Manure spreaders and Fertiliser distributors are implements for spreading solid or liquid manure and distributing powder or granular fertilizers. Data are expressed in numbers in use in the agricultural sector.
2455004,combine harvesters - threshers,FALSE,Combine harvesters - threshers,23,machinery,NA,Combine harvesters - threshers are self-propelled machines that collect and thresh in one operation. Data are expressed in numbers in use in the agricultural sector.
2455005,balers,FALSE,Balers,23,machinery,NA,"Balers (including pickup balers) are machines that collect grass, hay or straw after it has been cut. They form a round or square bale by compressing the material or tying it with twine wire, or a plastic wrap. Data are expressed in numbers in use in the agricultural sector."
2455006,root or tuber harvesting machines,FALSE,Root or tuber harvesting machines,23,machinery,NA,Root or tuber harvesting machines are implements used to harvest root and tubers. Data are expressed in numbers in use in the agricultural sector.
2455007,threshing machines(stakingforage harv.),FALSE,"Threshing machines(staking,forage harv.)",23,machinery,NA,"Threshing machines (staking, forage harvesting) are machines that separate grain from straw. Data are expressed in numbers in use in the agricultural sector."
2455008,milking machines,FALSE,Milking machines,23,machinery,NA,"Milking machines are used for milking cows, sheep, goats, etc. Data are expressed in numbers in use in the agricultural sector."
2455009,agricultural tractors total,FALSE,"Agricultural tractors, total",23,machinery,NA,"Agricultural tractors, total generally refer to total wheel, crawler or track-laying type tractors and pedestrian tractors used in agriculture. Data are available for numbers in use in the agricultural sector as of 2000. Data on import and export in value and number are also available as of 1961."
2455010,pedestrian controlled tractors,FALSE,Pedestrian controlled tractors,23,machinery,NA,"Pedestrian controlled tractors are small tractors equipped with a single driving axle carried on one or two wheels. They are not usually fitted with a seat and the steering is effected by means of two handles. Some types, however, have a one- or two-wheeled rear carriage with a seat for the driver. Data are expressed in numbers in use in the agricultural sector."
2455011,agricultural tractors,FALSE,Agricultural tractors,23,machinery,NA,Agricultural tractors generally refer to wheel and crawler or track-laying type tractors (excluding garden tractors) used in agriculture. Data are expressed in numbers in use in the agricultural sector.
2455012,track-laying tractors,FALSE,Track-laying tractors,23,machinery,NA,Track-laying tractors are tractors which travel on steel or rubber or treads. Data are expressed in numbers in use in the agricultural sector.
2455013,other agricultural tractors,FALSE,Other Agricultural tractors,23,machinery,NA,"Other agricultural tractors include all other agricultural tractors that are not pedestrian controlled or track-lying, e.g. 4-wheel, 6-wheel, etc. Data are expressed in numbers in use in the agricultural sector."
2455014,harvester and threshers (trade),FALSE,Harvester and threshers (trade),23,machinery,NA,Harvester and threshers refer to total harvesting and threshing machines as described by the Harmonised Coding System (HS) codes 8433 and 8437.10. Data refer to the value of the trade expressed in 1000 USD
2455015,milking dairy machinery (trade),FALSE,"Milking, dairy machinery (trade)",23,machinery,NA,"Milking, dairy machinery refer to total milking and dairy machines as described by the Harmonised Coding System (HS) code 8434. Data refer to the value of the trade expressed in 1000 USD."
2455016,soil machinery (trade),FALSE,Soil machinery (trade),23,machinery,NA,Soil machinery refers to total machines described by the Harmonised Coding System (HS) code 8432. Data refer to the value of the trade expressed in 1000 USD.
2455017,agricultural machinery nes (trade),FALSE,Agricultural machinery nes (trade),23,machinery,NA,Agricultural machinery not else specified (n.e.s.) refer to total Agricultural machines as described by the Harmonised Coding System (HS) codes 8435-8436. Data refer to the value of the trade expressed in 1000 USD
2510,phosphate rock,FALSE,Phosphate rock,22,fertilizers,NA,Is a natural rock containing one or more calcium phosphate minerals of sufficient purity and quantity as to permit its use directly after grinding or after chemical processing in the manufacture of commercial phosphate fertilizers.
2814,ammonia anhydrous,FALSE,"Ammonia, anhydrous",22,fertilizers,NA,(NH3) is a material mostly produced by the synthetic process and at standard temperature and pressure is a gas. Fertilizer grade anhydrous ammonia contains about 82% of nitrogen.
283421,potassium nitrate,FALSE,Potassium nitrate,22,fertilizers,NA,KNONH3H2PO4 can be produced from naturally occurring sodium nitrate and potassium chloride and typically contains 13%N and 45% K2O.
3102,nitrogen fertilizers (n total nutrients),FALSE,Nitrogen Fertilizers (N total nutrients),22,fertilizers,NA,No definition available.
310210,urea,FALSE,Urea,22,fertilizers,NA,"CO(NH2)2, is produced from synthetic ammonia and carbon dioxide (CO2) and contains 46% nitrogen in ammoniac form. Urea may be in granular, prilled or crystalline form."
310221,ammonium sulphate,FALSE,Ammonium sulphate,22,fertilizers,NA,"(NH4)2SO4, is produced by reacting ammonia with sulphuric acid (H2SO4). It is produced as fine white granules or crystals and contains not less than 20.6% nitrogen in ammoniac form."
